Country_ID,Geotechnical,Meteorological,Hydrological,Climatological (heatwaves),Climatological (other),Country_name_x,Country_name_y,Country_name
AT,75.0,4062,7519,1673.0,1472.0,Austria,Austria,Austria
BE,141.0,5312,11396,280.0,0.0,Belgium,Belgium,Belgium
BG,88.0,695,4390,0.0,84.0,Bulgaria,Bulgaria,Bulgaria
HR,1201.0,463,1812,1811.0,68.0,Croatia,Croatia,Croatia
CY,22.0,40,0,394.0,6.0,Cyprus,Cyprus,Cyprus
CZ,41.0,2889,14483,807.0,354.0,Czechia,Czechia,Czechia
DK,0.0,5893,1781,1076.0,2277.928571428572,Denmark,Denmark,Denmark
EE,8607.74074074074,313,1,19.0,0.0,Estonia,Estonia,Estonia
FI,0.0,482,559,5364.461538461538,1339.0,Finland,Finland,Finland
FR,716.0,51576,39759,23254.0,15308.0,France,France,France
DE,46.0,76960,77339,21237.0,4836.0,Germany,Germany,Germany
EL,10471.0,3279,5408,1744.0,5920.0,Greece,Greece,Greece
HU,34.0,433,2163,7847.0,1.0,Hungary,Hungary,Hungary
IE,0.0,2454,1501,0.0,2277.928571428572,Ireland,Ireland,Ireland
IT,105613.0,20654,71799,32433.0,9047.0,Italy,Italy,Italy
LV,8607.74074074074,557,573,5364.461538461538,120.0,Latvia,Latvia,Latvia
LT,8607.74074074074,178,584,1097.0,424.0,Lithuania,Lithuania,Lithuania
LU,8607.74074074074,1002,260,0.0,2277.928571428572,Luxembourg,Luxembourg,Luxembourg
MT,8607.74074074074,29,22,5364.461538461538,2277.928571428572,Malta,Malta,Malta
NL,357.0,9224,1746,1.0,0.0,Netherlands,Netherlands,Netherlands
PL,43.0,767,18538,1323.0,2.0,Poland,Poland,Poland
PT,147.0,2039,2217,4775.0,7640.0,Portugal,Portugal,Portugal
RO,3040.0,74,11702,7852.0,0.0,Romania,Romania,Romania
SK,17.0,661,927,368.0,0.0,Slovakia,Slovakia,Slovakia
SI,68.0,1588,13983,1720.0,194.0,Slovenia,Slovenia,Slovenia
ES,2627.0,15681,34512,29336.0,16437.0,Spain,Spain,Spain
SE,0.0,3305,189,5364.461538461538,210.0,Sweden,Sweden,Sweden
IS,391.0,3,22,5364.461538461538,0.0,Iceland,Iceland,Iceland
LI,0.0,1,10,5364.461538461538,11.0,Liechtenstein,Liechtenstein,Liechtenstein
NO,385.0,3135,1243,1.0,38.0,Norway,Norway,Norway
CH,2205.0,9088,10369,427.0,9.0,Switzerland,Switzerland,Switzerland
TR,104681.0,591,6041,1.0,262.0,,,
