Country_ID;Year;Adjusted savings: natural resources depletion (% of GNI);Adjusted savings: net forest depletion (% of GNI);Annual freshwater withdrawals, total (% of internal resources);CO2 emissions (metric tons per capita);Economic and Social Rights Performance Score;Electricity production from coal sources (% of total);Energy imports, net (% of energy use);Fossil fuel energy consumption (% of total);Heat Index 35;Heating Degree Days;Land Surface Temperature;Level of water stress: freshwater withdrawal as a proportion of available freshwater resources;Methane emissions (metric tons of CO2 equivalent per capita);Nitrous oxide emissions (metric tons of CO2 equivalent per capita);PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);Renewable energy consumption (% of total final energy consumption);Tree Cover Loss (hectares)
AT;2013;0.149227841;0.040465079;6.345454545;7.754017979;2.379971119;9.456235476;63.41705212;66.25380351;0;7638.9;12.376825;9.643547941;0.900176637;0.457761668;14.50183038;34.58;7645
AT;2014;0.135585374;0.040313412;6.345454545;7.260930858;2.389794822;7.970332381;62.42378603;64.81315647;0;6793.49;13.9394383;9.643547941;0.87072359;0.45860056;12.81319702;35.67;9870
AT;2015;0.092315827;0.040715928;6.345454545;7.318859537;2.410801604;8.226608163;63.54485349;65.66182199;0;7038.29;13.5619841;9.643547941;0.855275822;0.465067116;13.35116934;34.82;7938
AT;2016;0.067795064;0.034813802;6.345454545;7.290777216;2.407397852;16.79499613;47.41131566;71.30324629;0;7272.37;12.8141586;9.643547941;0.837111404;0.457712713;12.30410306;34.63;17210
AT;2017;0.07764201;0.033175587;6.345454545;7.487036755;2.401372694;16.79499613;47.41131566;71.30324629;0;7427.61;12.5621113;9.643547941;0.826397869;0.445517724;11.96813105;33.97;18406
AT;2018;0.100695375;0.045019619;6.345454545;7.141140211;2.407031025;16.79499613;47.41131566;71.30324629;0;6839.11;13.0631993;9.643547941;0.801003152;0.436341405;12.31952644;34.08;26310
AT;2019;0.076995329;0.033315819;6.345454545;7.263331201;2.438455588;16.79499613;47.41131566;71.30324629;0;6957.15;13.3130646;9.643547941;0.784212366;0.425571911;12.16821803;33.98;33642
AT;2020;0.042082403;0.022769569;6.345454545;6.632645737;2.438455588;16.79499613;47.41131566;71.30324629;0;7079.31;13.0636333;9.643547941;0.769674008;0.421643853;13.63815962;35.77;25937
AT;2021;0.08287697;0.029071747;13.46723108;5.793648854;2.438455588;16.79499613;47.41131566;71.30324629;0;5899.288144;12.0623442;16.89458258;0.863101563;0.488674145;13.63815962;19.59;16652
BE;2013;0.044645677;0.014135906;40.24166667;8.651947187;2.454247578;6.278905603;73.19206874;70.8203058;0;5975.66;14.3436411;59.32432432;0.771488663;0.434403952;14.23228565;8.26;3315
BE;2014;0.050077279;0.012893655;37.96666667;8.061552368;2.455644721;6.156471148;76.2588603;72.65250484;0;4759.2;15.655647;55.97051597;0.761889131;0.431369728;12.83901513;9.13;4239
BE;2015;0.023255181;0.011037547;33.28333333;8.434836506;2.47155448;6.108011733;80.09179197;75.87078435;0;5244.82;15.6556349;49.06633907;0.756479813;0.424979834;13.20164452;9.42;3420
BE;2016;0.019605993;0.010682131;34.94200271;8.310660392;2.475857412;16.79499613;47.41131566;71.30324629;0;5433.25;14.9671608;51.5115519;0.745373673;0.408626801;12.37628991;9.2;4512
BE;2017;0.025323654;0.009450136;36.60067208;8.139438591;2.484248627;16.79499613;47.41131566;71.30324629;0;5189.53;15.8427792;53.95676474;0.717776789;0.403146284;12.82757618;9.66;4137
BE;2018;0.033363816;0.010617048;34.79166667;8.184366679;2.487935212;16.79499613;47.41131566;71.30324629;0;4998.84;16.9678873;51.28992629;0.716092278;0.404498641;12.76304285;10.65;4631
BE;2019;0.029264626;0.008317203;34.99166667;8.093790746;2.438455588;16.79499613;47.41131566;71.30324629;0;5098.11;16.0933769;51.58476658;0.703372351;0.402408548;12.6724532;10.2;5577
BE;2020;0.018831627;0.007552601;34.99166667;7.398130658;2.438455588;16.79499613;47.41131566;71.30324629;0;4734.95;17.2813144;51.58476658;0.691078974;0.395558796;13.63815962;12.28;5409
BE;2021;0.031309976;0.007439661;13.46723108;5.793648854;2.438455588;16.79499613;47.41131566;71.30324629;0;5899.288144;14.3430128;16.89458258;0.863101563;0.488674145;13.63815962;19.59;9143
BG;2013;0.504882421;0;26.03809524;5.45906018;2.333879177;45.02542432;37.14267985;70.20847929;0;4810.62;19.8122651;40.41688225;1.035201254;0.531114002;21.22186088;18.24;3693
BG;2014;0.315845662;0;25.6;5.821533906;2.314902211;45.4003026;36.55077772;71.04592252;0;4808.2;20.0625494;39.73686156;1.038733134;0.544565167;21.63806967;17.15;6689
