PublicationDate,countryName,reportingYear,Pollutant,Releases
2025/03/10,United Kingdom,2019,Nitrogen oxides (NOX),164183000
2025/03/10,Italy,2022,Non-methane volatile organic compounds (NMVOC),17903504.4
2025/03/10,Italy,2007,Hydrochlorofluorocarbons (HCFCs),51759.9
2025/03/10,United Kingdom,2015,Non-methane volatile organic compounds (NMVOC),91022000
2025/03/10,France,2015,Cadmium and compounds (as Cd),763.8
2025/03/10,United Kingdom,2017,Nitrous oxide (N2O),3481400
2025/03/10,France,2023,Mercury and compounds (as Hg),806.6999910000001
2025/03/10,Italy,2012,PCDD + PCDF (dioxins + furans) (as Teq),0.015587999999999998
2025/03/10,Portugal,2020,Nitrogen oxides (NOX),30294000
2025/03/10,Sweden,2017,Mercury and compounds (as Hg),111.1
2025/03/10,Netherlands,2011,Chromium and compounds (as Cr),566
2025/03/10,Denmark,2019,Chromium and compounds (as Cr),69.848
2025/03/10,Sweden,2013,Cadmium and compounds (as Cd),54.3
2025/03/10,Spain,2015,Carbon dioxide (CO2),124625000000
2025/03/10,Greece,2017,Cadmium and compounds (as Cd),682.6
2025/03/10,Germany,2015,Hydrochlorofluorocarbons (HCFCs),1153.33
2025/03/10,Poland,2016,PCDD + PCDF (dioxins + furans) (as Teq),0.21641900000000003
2025/03/10,Czechia,2018,Lead and compounds (as Pb),7871.546566000001
2025/03/10,Portugal,2023,Zinc and compounds (as Zn),14451
2025/03/10,Germany,2007,Ammonia (NH3),17772800
2025/03/10,Poland,2012,Chlorine and inorganic compounds (as HCl),12989300
2025/03/10,Germany,2010,Carbon monoxide (CO),903359000
2025/03/10,Belgium,2014,Dichloromethane (DCM),79950
2025/03/10,United Kingdom,2019,Carbon dioxide (CO2),149022000000
2025/03/10,Czechia,2019,Fluorine and inorganic compounds (as HF),325832.00659
2025/03/10,United Kingdom,2016,Hydrochlorofluorocarbons (HCFCs),52187.350000000006
2025/03/10,Ireland,2011,Chlorofluorocarbons (CFCs),150.74
2025/03/10,France,2008,Methane (CH4),144304000
2025/03/10,France,2014,Benzene,295740
2025/03/10,Spain,2010,Nitrous oxide (N2O),3730900
2025/03/10,Cyprus,2016,Nickel and compounds (as Ni),5640.8
2025/03/10,Germany,2015,Non-methane volatile organic compounds (NMVOC),41002000
2025/03/10,Slovakia,2012,Sulphur oxides (SOX),52451000
2025/03/10,Serbia,2020,Nitrogen oxides (NOX),46429400
2025/03/10,Sweden,2016,Fluorine and inorganic compounds (as HF),98500
2025/03/10,Slovakia,2009,Methane (CH4),7842000
2025/03/10,France,2022,Fluorine and inorganic compounds (as HF),252000
2025/03/10,Portugal,2020,Carbon dioxide (CO2),23294000000
2025/03/10,Netherlands,2009,Non-methane volatile organic compounds (NMVOC),16140000
2025/03/10,France,2009,Sulphur hexafluoride (SF6),9169.900000000001
2025/03/10,Italy,2014,Zinc and compounds (as Zn),37398
2025/03/10,Portugal,2018,Sulphur oxides (SOX),15123000
2025/03/10,Portugal,2022,Cadmium and compounds (as Cd),670.1
2025/03/10,Lithuania,2021,Fluorine and inorganic compounds (as HF),5640
2025/03/10,Spain,2015,Nitrogen oxides (NOX),277955000
2025/03/10,Netherlands,2009,Hydrochlorofluorocarbons (HCFCs),139390.13999999998
2025/03/10,Norway,2014,Particulate matter (PM10),3641800
2025/03/10,France,2009,PCDD + PCDF (dioxins + furans) (as Teq),0.025242999999999998
2025/03/10,United Kingdom,2014,Methane (CH4),347477000
2025/03/10,Poland,2018,Nickel and compounds (as Ni),13663.9
2025/03/10,Portugal,2008,Methane (CH4),65246000
2025/03/10,Germany,2007,Particulate matter (PM10),16496500
2025/03/10,Denmark,2019,PCDD + PCDF (dioxins + furans) (as Teq),0.000455
2025/03/10,Finland,2012,Ammonia (NH3),2093200
2025/03/10,Poland,2009,Sulphur oxides (SOX),437040000
2025/03/10,Italy,2016,Fluorine and inorganic compounds (as HF),172230
2025/03/10,Finland,2013,PCDD + PCDF (dioxins + furans) (as Teq),0.0024000000000000002
2025/03/10,Germany,2023,Benzene,225570
2025/03/10,Austria,2011,Sulphur oxides (SOX),7437000
2025/03/10,Spain,2008,Hexachlorobenzene (HCB),22.1
2025/03/10,Netherlands,2018,Non-methane volatile organic compounds (NMVOC),10905000
2025/03/10,Poland,2009,Nickel and compounds (as Ni),7346.9
2025/03/10,Hungary,2007,PCDD + PCDF (dioxins + furans) (as Teq),0.008181
2025/03/10,Spain,2023,Ammonia (NH3),23833700
2025/03/10,Poland,2020,Methane (CH4),467127000
2025/03/10,Slovakia,2016,Hydrogen cyanide (HCN),16000
2025/03/10,Greece,2018,Methane (CH4),11693000
2025/03/10,Norway,2010,Nickel and compounds (as Ni),3413
2025/03/10,Czechia,2007,Methane (CH4),460000
2025/03/10,Belgium,2015,Hydrogen cyanide (HCN),18142
