PublicationDate,countryName,reportingYear,Pollutant,Releases
2025/03/10,Poland,2018,Trichloroethylene (TRI),61.1
2025/03/10,Malta,2019,Chromium and compounds (as Cr),53.4
2025/03/10,Sweden,2009,Chlorides (as total Cl),45290000
2025/03/10,Finland,2013,Phenols (as total C),544.2
2025/03/10,Poland,2008,Lead and compounds (as Pb),35559.7
2025/03/10,France,2013,Total phosphorus,3218930
2025/03/10,Spain,2018,"1,2-dichloroethane (DCE-1,2)",309.3
2025/03/10,Ireland,2007,Mercury and compounds (as Hg),64.26
2025/03/10,Hungary,2008,Halogenated organic compounds (as AOX),4300
2025/03/10,Germany,2010,Total phosphorus,1856310
2025/03/10,Poland,2023,Copper and compounds (as Cu),15880
2025/03/10,Sweden,2022,Nonylphenol and Nonylphenol ethoxylates,14.300000000000002
2025/03/10,Italy,2023,Cyanides (as total CN),8682.485999999999
2025/03/10,Italy,2013,Phenols (as total C),49307.09999999999
2025/03/10,France,2017,Total phosphorus,3000330
2025/03/10,Spain,2018,Nonylphenol and Nonylphenol ethoxylates,494.55
2025/03/10,Poland,2020,Chlorides (as total Cl),2833040000
2025/03/10,Sweden,2010,Chlorides (as total Cl),43680000
2025/03/10,United Kingdom,2008,Halogenated organic compounds (as AOX),531430
2025/03/10,Italy,2012,"1,2-dichloroethane (DCE-1,2)",1374.6000000000001
2025/03/10,Switzerland,2009,Chromium and compounds (as Cr),476
2025/03/10,United Kingdom,2010,Cyanides (as total CN),17932.2
2025/03/10,Hungary,2008,Total nitrogen,4438500
2025/03/10,Spain,2016,Cyanides (as total CN),5203.8
2025/03/10,Poland,2014,Halogenated organic compounds (as AOX),99190
2025/03/10,Belgium,2010,Copper and compounds (as Cu),4449.200000000001
2025/03/10,France,2018,Nickel and compounds (as Ni),9867.3
2025/03/10,Poland,2021,Halogenated organic compounds (as AOX),100840
2025/03/10,Czechia,2011,Nickel and compounds (as Ni),2473.6
2025/03/10,Ireland,2009,Polychlorinated biphenyls (PCBs),1.894
2025/03/10,Germany,2015,Nickel and compounds (as Ni),28247.4
2025/03/10,United Kingdom,2013,Xylenes,298615
2025/03/10,France,2018,Octylphenols and Octylphenol ethoxylates,33.35
2025/03/10,Netherlands,2007,Chlorides (as total Cl),862340000
2025/03/10,Romania,2008,Copper and compounds (as Cu),30594.5
2025/03/10,Italy,2012,Naphthalene,946.8
2025/03/10,Spain,2021,Total nitrogen,54727400
2025/03/10,Norway,2008,"Benzo(g,h,i)perylene",1.7
2025/03/10,United Kingdom,2016,Trichloromethane,1556.7000000000003
2025/03/10,Portugal,2008,Nonylphenol and Nonylphenol ethoxylates,94.86999999999999
2025/03/10,Czechia,2013,Copper and compounds (as Cu),12143.9
2025/03/10,Italy,2012,Organotin compounds (as total Sn),64.8
