Country_ID,Year,Total losses,Country_name_x,Country_name_y,PEC SOLID,PEC Liquid,PEC Gaseous,PEC Nuclear,PEC Waste,PEC Electricity,PEC RES,PEC Fossil,PEC Total,FEC Industry,FEC Other,FEC trans RES,FEC transport,FEC total
AT,1980,0.0,Austria,Austria,,,,,,,,,,,,,,
AT,1981,0.0,Austria,Austria,,,,,,,,,,,,,,
AT,1982,2.0,Austria,Austria,,,,,,,,,,,,,,
AT,1983,1.0,Austria,Austria,,,,,,,,,,,,,,
AT,1984,0.0,Austria,Austria,,,,,,,,,,,,,,
AT,1985,0.0,Austria,Austria,,,,,,,,,,,,,,
AT,1986,220.5,Austria,Austria,,,,,,,,,,,,,,
AT,1987,441.0,Austria,Austria,,,,,,,,,,,,,,
AT,1988,220.5,Austria,Austria,,,,,,,,,,,,,,
AT,1989,0.0,Austria,Austria,,,,,,,,,,,,,,
AT,1990,545.0,Austria,Austria,,,,,,,,,,,,,,
AT,1991,195.0,Austria,Austria,,,,,,,,,,,,,,
AT,1992,0.0,Austria,Austria,,,,,,,,,,,,,,
AT,1993,2.0,Austria,Austria,,,,,,,,,,,,,,
AT,1994,3.0,Austria,Austria,,,,,,,,,,,,,,
AT,1995,0.0,Austria,Austria,,,,,,,,,,,,,,
AT,1996,7.0,Austria,Austria,,,,,,,,,,,,,,
AT,1997,328.0,Austria,Austria,,,,,,,,,,,,,,
AT,1998,289.5,Austria,Austria,,,,,,,,,,,,,,
AT,1999,251.0,Austria,Austria,,,,,,,,,,,,,,
AT,2000,306.0,Austria,Austria,,,,,,,,,,,,,,
AT,2001,1.0,Austria,Austria,,,,,,,,,,,,,,
AT,2002,3945.0,Austria,Austria,,,,,,,,,,,,,,
AT,2003,410.0,Austria,Austria,,,,,,,,,,,,,,
AT,2004,1.0,Austria,Austria,,,,,,,,,,,,,,
AT,2005,882.0,Austria,Austria,4042.211,13181.0,7769.665,0.0,397.777,225.573,7096.77102780166,24992.876,32712.99702780166,7188.512,11605.6800278017,73.776,9059.326,27853.5180278017
AT,2006,728.0,Austria,Austria,3986.951,12742.922,7249.273,0.0,485.032,545.522,7615.31575274673,23979.146,32625.01575274673,7354.402,11572.4157527467,256.081,8948.18,27874.997752746698
AT,2007,453.0,Austria,Austria,3855.024,12300.249,6845.711,0.0,476.121,517.317,8190.49802875704,23000.984,32184.92002875704,7429.831,11042.450028757,322.104,9114.067,27586.348028757002
AT,2008,619.0,Austria,Austria,3816.562,11971.199,7221.092,0.0,507.427,418.034,8525.91437279067,23008.853,32460.22837279067,7365.557,11534.2253727907,395.216,8845.267,27745.0493727907
AT,2009,693.0,Austria,Austria,2854.603,11143.874,7030.259,0.0,540.819,67.084,9010.21256577816,21028.735999999997,10060.0,7125.414,10740.1285657782,511.123,8532.787,26398.3295657782
AT,2010,0.0,Austria,Austria,3367.764,11601.279,7746.071,0.0,612.61,209.512,9322.75965711283,22715.114,31673.771035826896,7565.717,11620.8106571128,495.43,8830.449,28016.9766571128
AT,2011,6.5,Austria,Austria,3456.11,10914.888,7335.247,0.0,678.203,705.018,8884.30801213337,21706.245000000003,47074.505146173695,7594.313,11009.4000121334,497.787,8575.264,27178.9770121334
AT,2012,13.0,Austria,Austria,3217.354,10460.945,7011.179,0.0,653.018,241.012,10090.2630358269,20689.478,17827.586253654343,7652.596,11092.5540358269,490.97,8472.805,27217.9550358269
AT,2013,1019.0,Austria,Austria,3280.176,10752.21,6763.846,0.0,633.266,625.147,10020.1832136238,20796.231999999996,2499.665155440909,7494.58,11436.5452136238,502.298,8943.181,27874.3062136238
AT,2014,0.0,Austria,Austria,3013.097,10392.585,6122.762,0.0,641.143,797.483,9834.3937516958,19528.444,40381.877185439946,7340.552,10569.3857516958,597.001,8877.187,26787.1247516958
AT,2015,0.0,Austria,Austria,3204.635,10561.613,6576.115,0.0,666.351,865.135,9790.2164500812,20342.362999999998,301130.0156422088,7363.897,10977.0154500812,653.569,9163.053,27503.965450081203
AT,2016,0.0,Austria,Austria,2998.065,10753.028,6902.212,0.0,712.306,615.587,10063.7747935416,20653.305,17728.73992691315,7608.447,11104.4027935416,543.516,9361.785,28074.634793541598
AT,2017,1230.0,Austria,Austria,3071.127,10974.094,7445.643,0.0,683.213,562.847,10081.3967529378,21490.864,5201.705,7629.156,11439.7707529378,478.434,9461.756,28530.6827529378
AT,2018,393.0,Austria,Austria,2714.249,10931.789,7086.232,0.0,648.265,769.287,9676.87732053119,20732.27,123027.981,7563.291,10622.6008631891,493.523,9667.226,27853.1178631891
AT,2019,621.0,Austria,Austria,2858.35,11140.467,7321.511,0.0,629.875,269.01,10054.0648299417,21320.328,32976.447,7542.285,11002.47285182,484.453,9790.224,28334.981851819997
AT,2020,244.0,Austria,Austria,2449.069,9471.268,6980.282,0.0,668.304,188.806,10094.3249914971,18900.619,249113.7162148657,7247.23,10860.3773624725,409.476,8031.976,26139.5833624725
AT,2021,853.0,Austria,Austria,2516.129,9989.844,7402.552,0.0,659.651,648.595,10395.8636972389,19908.524999999998,26537.122999999996,7540.048,11987.6858210566,422.019,8382.19,27909.923821056604
