FacilityInspireId,Facility_ID,Country_ID,SectorCode,EPRTRAnnexIMainActivity,facilityName,city,Longitude,Latitude
FR.CAED/2853.FACILITY,1,FR,3,3(c)(i),VICAT,CRECHY,342766,4625535
SE.CAED/10017893.Facility,2,SE,7,7(a)(ii),Kingelstad Gris AB,VALLÅKRA,1292965,5596031
CZ.MZP.U424/CZ0117068E.FACILITY,3,CZ,1,1(c),Paroplynový zdroj Počerady,Výškov,13676777778,50429361111
SE.CAED/10016489.Facility,4,SE,6,6(a),Södra Cell Mönsterås,MÖNSTERÅS,1655049,5709152
ES.CAED/008231000.FACILITY,5,ES,7,7(a)(ii),"ILDEFONSO VELA, S.L.",TORRESCARCELA,-4296944,415025
SK.EEA/47043609.FACILITY,6,SK,3,3(c)(iii),"Calmit, spol. s.r.o. - Výroba vápna",Tisovec,19945139,48689294
PL.MŚ/000000409.FACILITY,7,PL,8,8(b),"Oddział ""Cukrownia Krasnystaw""",Siennica Nadolna,231898803710938,510206718444824
https://registry.gdi-de.org/id/de.st.lau.pf.anlagen-ied-euregistry/100721,8,DE,7,7(a)(ii),Sauwohl Immo GmbH & Co. KG,Braunsbedra,1192327,5127171
FR.CAED/10845.FACILITY,9,FR,2,2(c)(i),ARCELORMITTAL FRANCE,DUNKERQUE,2.3358,510164
EE.KAUR.TTR/30.FACILITY,10,EE,1,1(c),"Enefit Green AS, Iru elektrijaam",Maardu linn,249258289552,594519681701
ES.CAED/002072000.FACILITY,11,ES,3,3(c)(i),FABRICA DE MATAPORQUERA (CEMENTOS ALFA),MATAPORQUERA,-4162595,42874835
FR.CAED/6581.FACILITY,12,FR,3,3(c)(i),LAFARGE CIMENTS (USINE CIMENTERIE),ST PIERRE LA COUR,-103588,4810872
IT.EEA/2007000593.FACILITY,13,IT,2,2(b),Feralpi Siderurgica S.p.A,BRESCIA,10459166,454625
https://registry.gdi-de.org/id/de.ni.mu/04000025140,14,DE,5,5(b),Klingele Paper Weener SE & Co. KG Kraftwerk,"Weener, Stadt",735639,5318065
UK.SEPA/200000008.Facility,15,UK,3,3(c)(i),"Dunbar Works, East Lothian",Dunbar,-24715,5597901
BG.CAED/007000016.FACILITY,16,BG,7,7(a)(i),Poultry Farm Argus C,Пазарджик,24413323,42201752
FR.CAED/9601.FACILITY,17,FR,6,6(c),MATHIS PAUL,MUTTERSHOLTZ,753057,4826616
CZ.MZP.C313/CZ0256320E.FACILITY,18,CZ,7,7(a)(i),Drůbežárna Jindřichův Hradec,Jindřichův Hradec,15016169444,49129563889
IT.CAED/960111001.FACILITY,19,IT,1,1(a),Sonatrach Raffineria Italiana-Raffineria di Augusta,AUGUSTA,151905,372216
ES.CAED/003324000.FACILITY,20,ES,7,7(a)(iii),GRANJA MATGES DOLCET (0230EC),Alcarràs,474136,41624336
BG.EEA/03000016.FACILITY,21,BG,7,7(a)(i),Hibriden tsentar Zlatia EAD,Zlatia,27687333,43599056
UK.CAED/EW_EA-2345.FACILITY,22,UK,5,5(d),WELDON LANDFILL SITE,CORBY,-64357476,52488435
FR.CAED/14329.FACILITY,23,FR,7,7(a)(ii),SOCIETE JEAN-MARIE MINGAM,PLOUGAR,-41063,4856422
SE.CAED/10020389.Facility,24,SE,6,6(a),Gruvöns bruk,GRUMS,1312153,5933827
