Country_ID,Year,Total losses
AT,1980,0.0
AT,1981,0.0
AT,1982,2.0
AT,1983,1.0
AT,1984,0.0
AT,1985,0.0
AT,1986,220.5
AT,1987,441.0
AT,1988,220.5
AT,1989,0.0
AT,1990,545.0
AT,1991,195.0
AT,1992,0.0
AT,1993,2.0
AT,1994,3.0
AT,1995,0.0
AT,1996,7.0
AT,1997,328.0
AT,1998,289.5
AT,1999,251.0
AT,2000,306.0
AT,2001,1.0
AT,2002,3945.0
AT,2003,410.0
AT,2004,1.0
AT,2005,882.0
AT,2006,728.0
AT,2007,453.0
AT,2008,619.0
AT,2009,693.0
AT,2010,0.0
AT,2011,6.5
AT,2012,13.0
AT,2013,1019.0
AT,2014,0.0
AT,2015,0.0
AT,2016,0.0
AT,2017,1230.0
AT,2018,393.0
AT,2019,621.0
AT,2020,244.0
AT,2021,853.0
AT,2022,215.0
AT,2023,401.0
BE,1980,141.0
BE,1981,141.0
BE,1982,141.0
BE,1983,141.0
BE,1984,105.75
BE,1985,70.5
BE,1986,35.25
BE,1987,0.0
BE,1988,485.0
BE,1989,970.0
BE,1990,1455.0
BE,1991,1189.6
BE,1992,924.2
BE,1993,658.8000000000001
BE,1994,393.4000000000001
BE,1995,128.0
BE,1996,90.33333333333334
BE,1997,52.66666666666667
BE,1998,15.0
BE,1999,82.0
BE,2000,1.0
BE,2001,1.0
BE,2002,8.0
BE,2003,1.0
BE,2004,1.0
BE,2005,75.0
BE,2006,0.0
BE,2007,484.0
BE,2008,242.0
BE,2009,0.0
BE,2010,584.0
BE,2011,95.0
BE,2012,47.5
BE,2013,0.0
BE,2014,760.0
BE,2015,447.0
BE,2016,134.0
BE,2017,31.0
BE,2018,212.0
BE,2019,288.0
BE,2020,536.0
BE,2021,11159.0
BE,2022,840.0
BE,2023,99.0
BG,1980,58.0
BG,1981,58.0
BG,1982,58.0
BG,1983,58.0
BG,1984,58.0
BG,1985,58.0
BG,1986,58.0
BG,1987,44.0
BG,1988,30.0
BG,1989,16.0
BG,1990,2.0
BG,1991,1.6
BG,1992,1.2
BG,1993,0.7999999999999998
BG,1994,0.3999999999999999
BG,1995,0.0
BG,1996,0.0
BG,1997,0.0
BG,1998,0.0
BG,1999,30.0
BG,2000,60.0
BG,2001,0.0
BG,2002,3.0
BG,2003,5.0
BG,2004,1.0
BG,2005,2611.0
BG,2006,1.0
BG,2007,4.0
BG,2008,0.0
BG,2009,0.0
BG,2010,0.0
BG,2011,11.5
BG,2012,23.0
BG,2013,6.0
BG,2014,1198.0
BG,2015,1213.0
BG,2016,0.0
BG,2017,0.0
BG,2018,2.0
BG,2019,4.0
BG,2020,6.0
BG,2021,2.0
BG,2022,40.0
BG,2023,23.0
CH,1980,44.0
CH,1981,44.0
CH,1982,44.0
CH,1983,30.0
CH,1984,80.0
CH,1985,59.0
CH,1986,497.0
CH,1987,3565.0
CH,1988,224.0
CH,1989,1.0
CH,1990,890.0
CH,1991,563.5
CH,1992,237.0
CH,1993,779.0
CH,1994,132.0
CH,1995,2.0
CH,1996,61.5
CH,1997,121.0
CH,1998,86.0
CH,1999,4808.0
CH,2000,739.0
CH,2001,0.0
CH,2002,411.0
CH,2003,443.0
CH,2004,18.0
CH,2005,4814.0
CH,2006,36.0
CH,2007,835.0
CH,2008,1.0
CH,2009,1122.0
CH,2010,15.0
CH,2011,0.0
CH,2012,0.0
CH,2013,265.0
CH,2014,105.0
CH,2015,9.0
CH,2016,0.0
CH,2017,403.0
CH,2018,156.0
CH,2019,189.0
CH,2020,139.0
CH,2021,375.0
CH,2022,19.0
CH,2023,450.0
CY,1980,0.0
CY,1981,0.0
CY,1982,0.0
CY,1983,0.0
CY,1984,0.0
CY,1985,0.0
CY,1986,8.0
CY,1987,16.0
CY,1988,24.0
CY,1989,22.285714285714285
CY,1990,20.571428571428573
CY,1991,18.857142857142858
CY,1992,17.142857142857142
CY,1993,15.428571428571429
CY,1994,13.714285714285715
CY,1995,12.0
CY,1996,10.0
CY,1997,5.0
CY,1998,0.0
CY,1999,0.0
CY,2000,0.0
CY,2001,4.333333333333333
CY,2002,8.666666666666666
CY,2003,13.0
CY,2004,9.75
CY,2005,6.5
CY,2006,3.25
CY,2007,0.0
CY,2008,184.0
CY,2009,3.0
CY,2010,32.57142857142857
CY,2011,62.142857142857146
CY,2012,91.71428571428572
CY,2013,121.28571428571428
CY,2014,150.85714285714286
CY,2015,180.42857142857144
CY,2016,210.0
CY,2017,157.5
CY,2018,105.0
CY,2019,52.5
CY,2020,0.0
CY,2021,6.0
CY,2022,0.0
CY,2023,1.0
CZ,1980,0.0
CZ,1981,0.0
CZ,1982,0.0
CZ,1983,0.0
CZ,1984,0.0
CZ,1985,19.0
CZ,1986,0.0
CZ,1987,104.0
CZ,1988,16.0
CZ,1989,8.0
CZ,1990,0.0
CZ,1991,5.5
CZ,1992,11.0
CZ,1993,32.25
CZ,1994,53.5
CZ,1995,74.75
CZ,1996,96.0
CZ,1997,5484.0
CZ,1998,137.0
CZ,1999,587.5
CZ,2000,1038.0
CZ,2001,55.0
CZ,2002,5441.0
CZ,2003,0.0
CZ,2004,0.0
CZ,2005,0.0
CZ,2006,664.0
CZ,2007,280.0
CZ,2008,54.0
CZ,2009,177.0
CZ,2010,876.0
CZ,2011,463.5
CZ,2012,51.0
CZ,2013,2103.0
CZ,2014,19.0
CZ,2015,44.5
CZ,2016,70.0
CZ,2017,747.0
CZ,2018,159.0
CZ,2019,171.5
CZ,2020,184.0
CZ,2021,689.0
CZ,2022,80.0
CZ,2023,22.0
DE,1980,61.0
DE,1981,450.0
DE,1982,15.0
DE,1983,249.0
DE,1984,3961.0
DE,1985,1167.0
DE,1986,68.0
DE,1987,86.0
DE,1988,169.0
DE,1989,122.0
DE,1990,7079.0
DE,1991,119.0
DE,1992,330.0
DE,1993,1687.0
DE,1994,2160.0
DE,1995,626.0
DE,1996,336.0
DE,1997,718.0
DE,1998,784.0
DE,1999,3917.0
DE,2000,410.0
DE,2001,1021.0
DE,2002,27248.0
DE,2003,2566.0
DE,2004,1515.0
DE,2005,1810.0
DE,2006,1132.0
DE,2007,6349.0
DE,2008,2845.0
DE,2009,1345.0
DE,2010,5959.0
DE,2011,880.0
DE,2012,159.0
DE,2013,15364.0
DE,2014,3186.0
DE,2015,2934.0
DE,2016,3947.0
DE,2017,5717.0
DE,2018,10145.0
DE,2019,8247.0
DE,2020,1607.0
DE,2021,38755.0
DE,2022,11014.0
DE,2023,2163.0
DK,1980,812.0
DK,1981,812.0
DK,1982,406.0
DK,1983,0.0
DK,1984,43.0
DK,1985,86.0
DK,1986,129.0
DK,1987,172.0
DK,1988,215.0
DK,1989,258.0
